seed,modeled_speedup,modeled_parallel_runtime,modeled_sequential_runtime,modules,cross_edges,optimizer_runtime_s,partition_json
1,1.0,4.33204744,4.33204744,1,0,0.09782222399996954,"{""N01"": 1, ""N02"": 1}"
2,1.0,4.33204744,4.33204744,1,0,0.09495076300004257,"{""N01"": 1, ""N02"": 1}"
3,1.0,4.33204744,4.33204744,1,0,0.09533882400000948,"{""N01"": 1, ""N02"": 1}"
4,1.0,4.33204744,4.33204744,1,0,0.094320563999986,"{""N01"": 1, ""N02"": 1}"
5,1.0,4.33204744,4.33204744,1,0,0.1079084560000183,"{""N01"": 2, ""N02"": 2}"
6,1.0,4.33204744,4.33204744,1,0,0.0941953999999896,"{""N01"": 1, ""N02"": 1}"
7,1.0,4.33204744,4.33204744,1,0,0.09358269800009111,"{""N01"": 1, ""N02"": 1}"
8,1.0,4.33204744,4.33204744,1,0,0.09291439300000093,"{""N01"": 1, ""N02"": 1}"
9,1.0,4.33204744,4.33204744,1,0,0.09386089800000263,"{""N01"": 2, ""N02"": 2}"
10,1.0,4.33204744,4.33204744,1,0,0.09365810899998905,"{""N01"": 2, ""N02"": 2}"
11,1.0,4.33204744,4.33204744,1,0,0.09376003800002763,"{""N01"": 2, ""N02"": 2}"
12,1.0,4.33204744,4.33204744,1,0,0.0951523599999291,"{""N01"": 2, ""N02"": 2}"
13,1.0,4.33204744,4.33204744,1,0,0.11032825000006596,"{""N01"": 2, ""N02"": 2}"
14,1.0,4.33204744,4.33204744,1,0,0.09377209700005551,"{""N01"": 1, ""N02"": 1}"
15,1.0,4.33204744,4.33204744,1,0,0.09371336999993218,"{""N01"": 1, ""N02"": 1}"
16,1.0,4.33204744,4.33204744,1,0,0.09342266100009056,"{""N01"": 2, ""N02"": 2}"
17,1.0,4.33204744,4.33204744,1,0,0.09348868899996887,"{""N01"": 2, ""N02"": 2}"
18,1.0,4.33204744,4.33204744,1,0,0.0924862019999182,"{""N01"": 1, ""N02"": 1}"
19,1.0,4.33204744,4.33204744,1,0,0.09356359999992492,"{""N01"": 1, ""N02"": 1}"
20,1.0,4.33204744,4.33204744,1,0,0.10813692199997149,"{""N01"": 1, ""N02"": 1}"
21,1.0,4.33204744,4.33204744,1,0,0.09310405200005789,"{""N01"": 2, ""N02"": 2}"
22,1.0,4.33204744,4.33204744,1,0,0.0940195110000559,"{""N01"": 1, ""N02"": 1}"
23,1.0,4.33204744,4.33204744,1,0,0.09295013600001312,"{""N01"": 2, ""N02"": 2}"
24,1.0,4.33204744,4.33204744,1,0,0.09298974500006807,"{""N01"": 1, ""N02"": 1}"
25,1.0,4.33204744,4.33204744,1,0,0.09251259199993456,"{""N01"": 2, ""N02"": 2}"
26,1.0,4.33204744,4.33204744,1,0,0.09341964800000824,"{""N01"": 1, ""N02"": 1}"
27,1.0,4.33204744,4.33204744,1,0,0.09370203299999957,"{""N01"": 2, ""N02"": 2}"
28,1.0,4.33204744,4.33204744,1,0,0.10828507100006846,"{""N01"": 1, ""N02"": 1}"
29,1.0,4.33204744,4.33204744,1,0,0.09326981700007764,"{""N01"": 2, ""N02"": 2}"
30,1.0,4.33204744,4.33204744,1,0,0.09359988300002442,"{""N01"": 1, ""N02"": 1}"
