run,parent,child,calls,child_total_ms,child_global_pct
1,ROOT,parallel_for_,10,379.08,
1,ROOT,parallel_for_,10,2448.6,
1,ROOT,parallel_for_,10,640.79,
1,ROOT,parallel_for_,10,18.57,
1,ROOT,parallel_for_,10,1.59,
2,ROOT,parallel_for_,10,378.48,
2,ROOT,parallel_for_,10,2432.05,
2,ROOT,parallel_for_,10,632.9,
2,ROOT,parallel_for_,10,18.54,
2,ROOT,parallel_for_,10,1.58,
3,ROOT,parallel_for_,10,378.49,
3,ROOT,parallel_for_,10,2456.34,
3,ROOT,parallel_for_,10,639.79,
3,ROOT,parallel_for_,10,18.65,
3,ROOT,parallel_for_,10,1.58,
4,ROOT,parallel_for_,10,379.5,
4,ROOT,parallel_for_,13,3224.32,
4,ROOT,parallel_for_,10,636.75,
4,ROOT,parallel_for_,10,18.62,
4,ROOT,parallel_for_,10,1.59,
5,ROOT,parallel_for_,10,378.59,
5,ROOT,parallel_for_,10,2458.07,
5,ROOT,parallel_for_,10,637.18,
5,ROOT,parallel_for_,10,18.65,
5,ROOT,parallel_for_,10,1.58,
