run,depth,parent,node,threads,calls,total_ms,local_pct,global_pct
1,1,ROOT,parallel_for_,1,10,407.0,,
1,1,ROOT,parallel_for_,1,10,2742.36,,
1,1,ROOT,parallel_for_,1,10,734.76,,
1,1,ROOT,parallel_for_,1,13,27.44,,
1,1,ROOT,parallel_for_,1,13,2.78,,
2,1,ROOT,parallel_for_,1,10,406.69,,
2,1,ROOT,parallel_for_,1,10,2741.17,,
2,1,ROOT,parallel_for_,1,10,744.74,,
2,1,ROOT,parallel_for_,1,13,27.53,,
2,1,ROOT,parallel_for_,1,13,2.75,,
3,1,ROOT,parallel_for_,1,10,409.84,,
3,1,ROOT,parallel_for_,1,10,2770.6,,
3,1,ROOT,parallel_for_,1,10,730.25,,
3,1,ROOT,parallel_for_,1,13,27.53,,
3,1,ROOT,parallel_for_,1,13,2.77,,
4,1,ROOT,parallel_for_,1,10,409.55,,
4,1,ROOT,parallel_for_,1,10,2764.32,,
4,1,ROOT,parallel_for_,1,10,738.7,,
4,1,ROOT,parallel_for_,1,13,27.31,,
4,1,ROOT,parallel_for_,1,13,2.87,,
5,1,ROOT,parallel_for_,1,10,407.19,,
5,1,ROOT,parallel_for_,1,10,2756.82,,
5,1,ROOT,parallel_for_,1,10,732.14,,
5,1,ROOT,parallel_for_,1,21,43.44,,
5,1,ROOT,parallel_for_,1,10,2.14,,
