pair,configuration,threads,cpuset,seconds,exit_code
1,TP,4,"0,1,2,3",2.090759293,0
1,T1,1,0,3.939381226,0
2,T1,1,0,3.970370996,0
2,TP,4,"0,1,2,3",2.039974009,0
3,TP,4,"0,1,2,3",2.032774102,0
3,T1,1,0,3.938790751,0
4,TP,4,"0,1,2,3",3.15299774,0
4,T1,1,0,3.961469163,0
5,T1,1,0,3.923751404,0
5,TP,4,"0,1,2,3",2.0363952,0
6,TP,4,"0,1,2,3",2.02621614,0
6,T1,1,0,3.930221429,0
7,T1,1,0,3.985258408,0
7,TP,4,"0,1,2,3",2.035383604,0
8,T1,1,0,3.945823636,0
8,TP,4,"0,1,2,3",2.033327679,0
9,TP,4,"0,1,2,3",2.028524992,0
9,T1,1,0,3.942222417,0
10,T1,1,0,3.946191141,0
10,TP,4,"0,1,2,3",2.02757879,0
11,TP,4,"0,1,2,3",2.025452238,0
11,T1,1,0,3.96862332,0
12,T1,1,0,3.943692495,0
12,TP,4,"0,1,2,3",2.032420469,0
13,T1,1,0,3.947005186,0
13,TP,4,"0,1,2,3",2.031967057,0
14,TP,4,"0,1,2,3",3.78697352,0
14,T1,1,0,3.954395642,0
15,TP,4,"0,1,2,3",2.033047771,0
15,T1,1,0,4.715644252,0
16,TP,4,"0,1,2,3",2.415122646,0
16,T1,1,0,3.97494585,0
17,T1,1,0,3.980444808,0
17,TP,4,"0,1,2,3",2.036041261,0
18,TP,4,"0,1,2,3",2.026885996,0
18,T1,1,0,3.952687173,0
19,TP,4,"0,1,2,3",2.030705095,0
19,T1,1,0,3.942326727,0
20,T1,1,0,3.935134525,0
20,TP,4,"0,1,2,3",2.033296667,0
21,TP,4,"0,1,2,3",2.030051629,0
21,T1,1,0,3.952126197,0
22,TP,4,"0,1,2,3",2.029087017,0
22,T1,1,0,3.952575386,0
23,TP,4,"0,1,2,3",2.028272192,0
23,T1,1,0,4.888474341,0
24,TP,4,"0,1,2,3",2.03266854,0
24,T1,1,0,3.96183256,0
25,TP,4,"0,1,2,3",2.133401703,0
25,T1,1,0,3.965978002,0
26,TP,4,"0,1,2,3",2.033724402,0
26,T1,1,0,3.961171298,0
27,T1,1,0,3.95262945,0
27,TP,4,"0,1,2,3",2.033331124,0
28,TP,4,"0,1,2,3",2.026857967,0
28,T1,1,0,3.963552822,0
29,T1,1,0,3.941459931,0
29,TP,4,"0,1,2,3",2.030950073,0
30,TP,4,"0,1,2,3",2.029622183,0
30,T1,1,0,3.962170676,0
