run,elapsed_seconds,exit_code
1,4.580831099,0
2,4.460089086,0
3,4.4839081,0
4,4.430297497,0
5,4.456691717,0
6,4.481400279,0
7,4.455711479,0
8,4.478482709,0
9,4.457815015,0
10,4.485217888,0
11,4.476206059,0
12,4.472388907,0
13,4.488289291,0
14,4.455948328,0
15,4.469275314,0
16,4.448699682,0
17,4.453835182,0
18,4.452539131,0
19,5.10110622,0
20,4.505229482,0
21,4.451140798,0
22,4.436356994,0
23,4.485169231,0
24,4.47998609,0
25,4.469600908,0
26,4.488899244,0
27,4.472036628,0
28,4.431449974,0
29,4.449652164,0
30,4.485442671,0
